Response	Predictor	Species	median	lower95	upper95	significant
disper_unweighted_unifrac	Raca_8	Raca	0.0122339101443212	-0.0328592704013597	0.0620520327964627	FALSE
disper_unweighted_unifrac	Raca_9	Raca	-0.00518403328314822	-0.0643166746889125	0.0506871070451218	FALSE
disper_unweighted_unifrac	Rapi_3	Rapi	-0.0274919142762876	-0.0836505862881413	0.0263275622079908	FALSE
disper_unweighted_unifrac	Rapi_4	Rapi	0.0152610634393926	-0.0371334538390092	0.0713356667343597	FALSE
disper_unweighted_unifrac	Rapi_6	Rapi	0.0107735315796471	-0.0458887895394595	0.0625550782400585	FALSE
disper_unweighted_unifrac	Rhma_1	Rhma	-0.0450476777951425	-0.0960526265487007	0.00323001687730384	FALSE
disper_unweighted_unifrac	Rhma_2	Rhma	0.00699768937876306	-0.0423977093254314	0.0559893881787514	FALSE
disper_unweighted_unifrac	Rhma_3	Rhma	0.0204778585945254	-0.0268621065234004	0.0713372529711466	FALSE
disper_unweighted_unifrac	Rhma_5	Rhma	-0.0277491733691453	-0.0779631036713862	0.0194930087321281	FALSE
disper_unweighted_unifrac	Rhma_8	Rhma	0.0214215890121666	-0.0285623374771525	0.0681955254306886	FALSE
disper_unweighted_unifrac	Rhma_9	Rhma	0.0221969255733511	-0.0276304651092666	0.0730287426365282	FALSE
disper_weighted_unifrac	Anbo_1	Anbo	-0.075264790462769	-0.207647977363501	0.0442105733907219	FALSE
disper_weighted_unifrac	Anbo_10	Anbo	-0.0510097032871147	-0.179655290634779	0.0659366008661457	FALSE
disper_weighted_unifrac	Anbo_2	Anbo	0.150663901237521	0.015844843660989	0.296184614194795	TRUE
disper_weighted_unifrac	Anbo_3	Anbo	0.0262820427671522	-0.10439141961627	0.149410714951172	FALSE
disper_weighted_unifrac	Anbo_4	Anbo	0.106419434774971	-0.0174775180510534	0.252475996587825	FALSE
disper_weighted_unifrac	Anbo_5	Anbo	-0.00363465920537055	-0.119917647066803	0.121353910370687	FALSE
disper_weighted_unifrac	Anbo_6	Anbo	-0.0512130933130716	-0.177498137655613	0.0654853416392531	FALSE
disper_weighted_unifrac	Anbo_7	Anbo	-0.0518170660881913	-0.18688747882437	0.0771256577259684	FALSE
disper_weighted_unifrac	Anbo_8	Anbo	-0.0583282921227275	-0.186882441142296	0.0681953870752168	FALSE
disper_weighted_unifrac	Anbo_9	Anbo	0.0103580329150242	-0.11227046232668	0.134589551956667	FALSE
disper_weighted_unifrac	Osse_1	Osse	-0.00452406159610753	-0.133518671552292	0.126000709684803	FALSE
disper_weighted_unifrac	Osse_10	Osse	-0.0395290402389294	-0.172905403951786	0.085446872298387	FALSE
disper_weighted_unifrac	Osse_2	Osse	0.073224150522664	-0.052098764364949	0.203758791577683	FALSE
disper_weighted_unifrac	Osse_3	Osse	0.0314559315352278	-0.0951376331901045	0.157655527942656	FALSE
disper_weighted_unifrac	Osse_4	Osse	-0.004996627579925	-0.130527315889868	0.113478650360676	FALSE
disper_weighted_unifrac	Osse_5	Osse	-0.0410450484043699	-0.168655183170606	0.0796501547772242	FALSE
disper_weighted_unifrac	Osse_6	Osse	-0.114854847321988	-0.255857994254838	0.0132258053871944	FALSE
disper_weighted_unifrac	Osse_7	Osse	-0.0187862355648951	-0.148914284481465	0.103658705946008	FALSE
disper_weighted_unifrac	Osse_8	Osse	0.0964674426113163	-0.0308543530564176	0.248206644735703	FALSE
disper_weighted_unifrac	Osse_9	Osse	0.0219121888833092	-0.109179319145608	0.152516336358783	FALSE
disper_weighted_unifrac	Raca_1	Raca	0.0484194864978549	-0.0821771122025283	0.180345020933928	FALSE
disper_weighted_unifrac	Raca_10	Raca	0.0147023799746176	-0.108297137833818	0.148365529737582	FALSE
disper_weighted_unifrac	Raca_2	Raca	0.0791810199661908	-0.0468008073616085	0.214690730365625	FALSE
disper_weighted_unifrac	Raca_3	Raca	-0.011605454477299	-0.134601838533061	0.114994031939804	FALSE
disper_weighted_unifrac	Raca_4	Raca	-0.0486323401514294	-0.179102911430904	0.0657960822461997	FALSE
disper_weighted_unifrac	Raca_5	Raca	-0.0134792549342385	-0.142381762464182	0.113771837383157	FALSE
disper_weighted_unifrac	Raca_6	Raca	-0.067991649507215	-0.20653491516562	0.0518499255531153	FALSE
disper_weighted_unifrac	Raca_7	Raca	0.0160547312526712	-0.127567695313802	0.169164259242155	FALSE
disper_weighted_unifrac	Raca_8	Raca	-0.0102234634580629	-0.138856486447036	0.112729384542481	FALSE
disper_weighted_unifrac	Raca_9	Raca	-0.0101774974895078	-0.160000321600981	0.138052183415678	FALSE
disper_weighted_unifrac	Rapi_3	Rapi	-0.0736391726297303	-0.234734780034881	0.0597444250005152	FALSE
disper_weighted_unifrac	Rapi_4	Rapi	0.0518057427477393	-0.0810806088095132	0.196619249610433	FALSE
disper_weighted_unifrac	Rapi_6	Rapi	0.0258797429608632	-0.109322395569714	0.171187454661687	FALSE
disper_weighted_unifrac	Rhma_1	Rhma	-0.00789981132192245	-0.135162491424687	0.119560703815847	FALSE
disper_weighted_unifrac	Rhma_2	Rhma	0.0449989483384958	-0.0841952855069119	0.178895048587916	FALSE
disper_weighted_unifrac	Rhma_3	Rhma	-0.0239493101334545	-0.156623558578287	0.101406615339939	FALSE
disper_weighted_unifrac	Rhma_5	Rhma	0.0323698299205748	-0.0915489140797288	0.161636698379737	FALSE
disper_weighted_unifrac	Rhma_8	Rhma	-0.0119056636182433	-0.146621045981593	0.107393253098162	FALSE
disper_weighted_unifrac	Rhma_9	Rhma	-0.0351505879273474	-0.16117286861771	0.0937900721809225	FALSE
dist_braycurtis	Anbo_1	Anbo	-0.231660177763713	-0.557336748338512	0.0804821067814569	FALSE
dist_braycurtis	Anbo_10	Anbo	0.0236229341175204	-0.269852420117433	0.335013706277988	FALSE
dist_braycurtis	Anbo_2	Anbo	0.209386239297286	-0.0892623589090615	0.507643938469343	FALSE
dist_braycurtis	Anbo_3	Anbo	0.335222194858585	0.0181530873317193	0.666809723657754	TRUE
dist_braycurtis	Anbo_4	Anbo	0.227622031423455	-0.0810235191569585	0.529036767216886	FALSE
dist_braycurtis	Anbo_5	Anbo	0.0242735999888988	-0.274590015626925	0.316619546583599	FALSE
dist_braycurtis	Anbo_6	Anbo	-0.289689527166482	-0.593368420117533	0.0111496222176653	FALSE
dist_braycurtis	Anbo_7	Anbo	-0.302722656693877	-0.63548205844347	0.0129079307720467	FALSE
dist_braycurtis	Anbo_8	Anbo	-0.107002167565702	-0.42733021243157	0.199337085451261	FALSE
dist_braycurtis	Anbo_9	Anbo	0.112878143618164	-0.17376320462727	0.419381631457927	FALSE
dist_braycurtis	Osse_1	Osse	-0.043331504639328	-0.39307028319115	0.270892218369274	FALSE
dist_braycurtis	Osse_10	Osse	0.117041568152447	-0.181708481238487	0.438410899909662	FALSE
dist_braycurtis	Osse_2	Osse	0.489051294676592	0.157747877533473	0.845653247840771	TRUE
dist_braycurtis	Osse_3	Osse	0.00466851589136084	-0.325176025987357	0.308483321195886	FALSE
dist_braycurtis	Osse_4	Osse	-0.31462531534983	-0.640344564729329	-0.00499093058443764	TRUE
dist_braycurtis	Osse_5	Osse	-0.148111526167416	-0.452510807459189	0.149803986245091	FALSE
