	observed_otus
1788.mck681Post.8Osse.4	68
1788.mck7Pre.1Raca.7	78
1788.mck489Post.5Buma.9	129
1788.mck696Post.9Raca.9	140
1788.mck261Post.1Raca.6	109
1788.mck763Post.10Buma.1	129
1788.mck410Post.3Osse.6	125
1788.mck449Post.4Rapi.11	72
1788.mck444Post.4Rapi.6	80
1788.mck783Post.10Rapi.10	128
1788.mck488Post.5Buma.8	107
1788.mck591Post.7Buma.2	124
1788.mck121Pre.3Rapi.4	43
1788.mck111Pre.3Buma.5	154
1788.mck445Post.4Rapi.7	100
1788.mck411Post.3Osse.7	88
1788.mck354Post.2Osse.3	78
1788.mck47Pre.2Raca.4	72
1788.mck136Pre.3Bubo.7	69
1788.mck606Post.7Rapi.6	137
1788.mck746Post.10Bubo.3	101
1788.mck621Post.7Bubo.9	140
1788.mck119Pre.3Rapi.2	70
1788.mck431Post.4Buma.4	140
1788.mck156Pre.4Raca.7	152
1788.mck51Pre.2Raca.8	198
1788.mck633Post.7Control.Mold1	136
1788.mck44Pre.2Raca.1	118
1788.mck607Post.7Rapi.7	111
1788.mck657Post.8Rapi.1	70
1788.mck2Pre.1Raca.2	106
1788.mck80Pre.2Bubo.4	81
1788.mck576Post.6Osse.10	107
1788.mck638Post.8Raca.3	125
1788.mck373Post.3Buma.2	117
1788.mck49Pre.2Raca.6	123
1788.mck342Post.2Bubo.1	79
1788.mck775Post.10Rapi.2	98
1788.mck525Post.6Raca.2	126
1788.mck400Post.3Bubo.6	37
1788.mck557Post.6Bubo.1	54
1788.mck604Post.7Rapi.4	66
1788.mck27Pre.1Rapi.6	87
1788.mck443Post.4Rapi.5	65
1788.mck65Pre.2Rapi.1	113
1788.mck433Post.4Buma.6	116
1788.mck556Post.6Rapi.12	66
1788.mck115Pre.3Buma.11	213
1788.mck17Pre.1Buma.7	100
1788.mck390Post.3Rapi.8	84
1788.mck177Pre.4Rapi.7	102
1788.mck401Post.3Bubo.7	62
1788.mck605Post.7Rapi.5	86
1788.mck369Post.3Raca.8	115
1788.mck611Post.7Rapi.11	120
1788.mck750Post.10Bubo.8	90
1788.mck442Post.4Rapi.4	80
1788.mck24Pre.1Rapi.3	73
1788.mck795Post.10Osse.2	169
1788.mck751Post.10Bubo.9	52
1788.mck503Post.5Rapi.12	116
1788.mck140Pre.2Osse.1	71
1788.mck752Post.10Bubo.10	81
1788.mck297Post.1Bubo.9	78
1788.mck70Pre.2Rapi.6	89
1788.mck610Post.7Rapi.10	87
1788.mck405Post.3Osse.1	140
1788.mck506Post.5Bubo.3	27
1788.mck654Post.8Buma.9	136
1788.mck122Pre.3Rapi.5	92
1788.mck204Pre.5Raca.2	82
1788.mck201Pre.3Osse.9	113
1788.mck220Pre.5Buma.8	158
1788.mck377Post.3Buma.6	83
1788.mck346Post.2Bubo.5	43
1788.mck143Pre.2Osse.4	68
1788.mck309Post.2Raca.1	161
1788.mck603Post.7Rapi.3	77
1788.mck368Post.3Raca.7	53
1788.mck686Post.8Osse.9	50
1788.mck296Post.1Bubo.8	76
1788.mck647Post.8Buma.2	124
1788.mck398Post.3Bubo.4	79
1788.mck691Post.9Raca.4	155
1788.mck182Pre.4Rapi.12	108
1788.mck338Post.2Rapi.9	99
1788.mck728Post.9Bubo.9	70
1788.mck128Pre.3Rapi.11	107
1788.mck187Pre.4Bubo.5	74
1788.mck740Post.9Control.Cricket	280
1788.mck228Pre.5Rapi.5	81
1788.mck513Post.5Bubo.10	63
1788.mck593Post.7Buma.4	137
1788.mck739Post.9Osse.10	112
1788.mck202Pre.3Osse.10	74
1788.mck225Pre.5Rapi.2	64
1788.mck407Post.3Osse.3	70
1788.mck215Pre.5Buma.3	94
1788.mck708Post.9Buma.11	98
1788.mck249Pre.4Osse.4	50
1788.mck191Pre.4Bubo.9	78
1788.mck375Post.3Buma.4	103
1788.mck504Post.5Bubo.1	68
1788.mck148Pre.2Osse.9	96
1788.mck264Post.1Raca.9	141
1788.mck406Post.3Osse.2	124
1788.mck523Post.5Osse.10	90
1788.mck180Pre.4Rapi.10	76
1788.mck601Post.7Rapi.1	136
1788.mck268Post.1Buma.3	127
1788.mck189Pre.4Bubo.7	97
1788.mck160Pre.4Buma.1	136
1788.mck320Post.2Buma.2	113
1788.mck632Post.7Osse.10	85
1788.mck63Pre.2Buma.10	142
1788.mck334Post.2Rapi.5	73
1788.mck71Pre.2Rapi.7	67
1788.mck370Post.3Raca.9	82
1788.mck546Post.6Rapi.2	89
1788.mck437Post.4Buma.10	92
1788.mck637Post.8Raca.2	119
1788.mck634Post.7Conrol.Mold2	79
1788.mck163Pre.4Buma.4	133
1788.mck131Pre.3Bubo.2	53
1788.mck321Post.2Buma.3	119
1788.mck329Post.2Buma.11	143
1788.mck421Post.4Raca.4	243
1788.mck547Post.6Rapi.3	99
1788.mck256Post.1Raca.1	96
1788.mck221Pre.5Buma.9	150
1788.mck151Pre.4Raca.2	112
1788.mck200Pre.3Osse.8	83
1788.mck205Pre.5Raca.3	90
1788.mck679Post.8Osse.2	135
1788.mck190Pre.4Bubo.8	69
1788.mck336Post.2Rapi.7	74
1788.mck277Post.1Rapi.1	92
1788.mck214Pre.5Buma.2	92
1788.mck786Post.11Bubo.1	90
1788.mck379Post.3Buma.8	124
1788.mck522Post.5Osse.9	65
1788.mck186Pre.4Bubo.4	83
1788.mck617Post.7Bubo.5	68
1788.mck188Pre.4Bubo.6	48
1788.mck519Post.5Osse.6	90
1788.mck501Post.5Rapi.10	68
1788.mck423Post.4Raca.6	112
1788.mck137Pre.3Bubo.8	95
1788.mck212Pre.5Raca.10	139
1788.mck535Post.6Buma.2	113
1788.mck157Pre.4Raca.8	133
1788.mck371Post.3Raca.10	109
1788.mck616Post.7Bubo.4	50
1788.mck50Pre.2Raca.7	58
1788.mck545Post.6Rapi.1	112
1788.mck668Post.8Rapi.12	70
1788.mck284Post.1Rapi.8	99
1788.mck378Post.3Buma.7	87
1788.mck319Post.2Buma.1	109
1788.mck565Post.6Bubo.9	50
1788.mck656Post.8Buma.11	151
1788.mck324Post.2Buma.6	82
1788.mck648Post.8Buma.3	142
1788.mck330Post.2Rapi.1	253
1788.mck415Post.3NA	250
1788.mck337Post.2Rapi.8	132
1788.mck250Pre.4Osse.5	96
1788.mck669Post.8Bubo.1	66
1788.mck285Post.1Rapi.9	80
1788.mck81Pre.2Bubo.5	86
1788.mck554Post.6Rapi.10	146
1788.mck645Post.8Raca.10	140
1788.mck701Post.9Buma.4	146
1788.mck564Post.6Bubo.8	79
1788.mck666Post.8Rapi.10	96
1788.mck3Pre.1Raca.3	97
1788.mck325Post.2Buma.7	113
1788.mck235Pre.5Rapi.12	82
1788.mck494Post.5Rapi.3	58
1788.mck16Pre.1Buma.6	131
1788.mck54Pre.2Buma.1	140
1788.mck388Post.3Rapi.6	68
1788.mck96Pre.1Osse.10	89
1788.mck317Post.2Raca.9	160
1788.mck613Post.7Bubo.1	61
1788.mck39Pre.1Bubo.6	67
1788.mck664Post.8Rapi.8	90
1788.mck274Post.1Buma.9	126
1788.mck328Post.2Buma.10	88
1788.mck332Post.2Rapi.3	72
1788.mck609Post.7Rapi.9	81
1788.mck59Pre.2Buma.6	130
1788.mck267Post.1Buma.2	101
1788.mck86Pre.2Bubo.10	69
1788.mck365Post.3Raca.4	99
1788.mck389Post.3Rapi.7	81
1788.mck703Post.9Buma.6	130
1788.mck57Pre.2Buma.4	147
1788.mck727Post.9Bubo.8	78
1788.mck127Pre.3Rapi.10	84
1788.mck782Post.10Rapi.9	103
1788.mck316Post.2Raca.8	56
1788.mck583Post.7Raca.4	167
1788.mck289Post.1Bubo.1	44
1788.mck37Pre.1Bubo.4	78
1788.mck608Post.7Rapi.8	106
1788.mck176Pre.4Rapi.6	127
1788.mck105Pre.3Raca.10	193
1788.mck676Post.8Bubo.9	55
1788.mck652Post.8Buma.7	102
1788.mck476Post.5Raca.6	48
1788.mck507Post.5Bubo.4	43
1788.mck384Post.3Rapi.2	65
1788.mck340Post.2Rapi.11	88
1788.mck672Post.8Bubo.4	45
1788.mck244Pre.5Bubo.9	82
1788.mck260Post.1Raca.5	217
1788.mck690Post.9Raca.3	178
1788.mck434Post.4Buma.7	72
1788.mck94Pre.1Osse.8	71
1788.mck531Post.6Raca.8	89
1788.mck477Post.5Raca.7	60
1788.mck588Post.7Raca.9	78
1788.mck385Post.3Rapi.3	52
1788.mck673Post.8Bubo.5	135
1788.mck597Post.7Buma.8	129
1788.mck162Pre.4Buma.3	120
1788.mck590Post.7Buma.1	150
1788.mck792Post.11Bubo.9	73
1788.mck374Post.3Buma.3	106
1788.mck687Post.8Osse.10	107
1788.mck149Pre.2Osse.10	68
1788.mck237Pre.5Bubo.2	57
1788.mck650Post.8Buma.5	155
1788.mck474Post.5Raca.4	131
1788.mck304Post.1Osse.6	108
1788.mck262Post.1Raca.7	134
1788.mck695Post.9Raca.8	94
1788.mck269Post.1Buma.4	105
1788.mck623Post.7Osse.1	159
1788.mck682Post.8Osse.5	107
1788.mck414Post.3Osse.10	84
1788.mck699Post.9Buma.2	111
1788.mck292Post.1Bubo.4	85
1788.mck114Pre.3Buma.8	186
1788.mck305Post.1Osse.7	90
1788.mck760Post.10Raca.8	154
1788.mck475Post.5Raca.5	120
