SampleID	Bd_load	Bd_load_sd	Bd_load2	Bd_load_sd2	PABD	species	indiv	prepost	Bd_exposure	indivID	time	orig_contam	observed_otus	chao1	shannon	faith_pd	dist_braycurtis	dist_unweighted_unifrac	dist_weighted_unifrac	disper_braycurtis	disper_unweighted_unifrac	disper_weighted_unifrac	inhibRich	percInhib	NMDS1_braycurtis	NMDS1_unweighted_unifrac	NMDS1_weighted_unifrac	NMDS2_braycurtis	NMDS2_unweighted_unifrac	NMDS2_weighted_unifrac	NMDS_stress_braycurtis	NMDS_stress_unweighted_unifrac	NMDS_stress_weighted_unifrac	mass_g
1788.mck154Pre.4Raca.5	0	0	0	0	0	Raca	5	Pre	Bd-exposed	Raca_5	4	0	189	255.3	5.24715297588822	25.76272514148	0.6958	0.573868558469694	0.413430452790318	0.446487126022357	0.32693603475386	0.2148504386188	8	0.086	0.0491514006814739	-0.345078144137691	-0.00693736784626366	-0.469485816766589	0.184977148871119	-0.159212801115601	28.098783726779	22.8164934510084	18.491209331149	94
1788.mck357Post.2Osse.6	0	0	0	0	0	Osse	6	Post	Bd-exposed	Osse_6	7	0	68	68.5	3.96509215417812	9.920496327692	0.2875	0.479980809337403	0.144676424937799	0.527303303991166	0.388443006997012	0.280848590838906	12	0.3928	0.431444060628379	0.169720119147555	0.235715676842936	0.345236735718527	-0.0028499682449214	0.0624263052476158	28.098783726779	22.8164934510084	18.491209331149	14
1788.mck510Post.5Bubo.7	0	0	0	0	0	Anbo	7	Post	Control	Anbo_7	10	0	57	83.25	3.23393444019743	8.7278813421	0.1798	0.431636549674572	0.0587441356811954	0.371200376885585	0.415182835617142	0.203758768608288	10	0.6864	0.368211451112219	0.26241912712013	-0.0971775183799397	-0.0424850768211525	-0.131288647895933	0.207960428456482	28.098783726779	22.8164934510084	18.491209331149	NA
1788.mck193Pre.3Osse.1	0	0	0	0	0	Osse	1	Pre	Bd-exposed	Osse_1	4	0	72	87.1666666666667	1.17772590603881	8.99292453666	0.5303	0.534132274813088	0.165912530364286	0.573133243806577	0.370794200011602	0.294824800770961	15	0.9171	0.541801812317145	0.233431669990473	-0.207194113301888	0.699746391756748	0.123026597585276	0.328405511456726	28.098783726779	22.8164934510084	18.491209331149	16
1788.mck567Post.6Osse.1	0	0	0	0	0	Osse	1	Post	Bd-exposed	Osse_1	11	0	146	165.090909090909	3.71045018649917	21.209184152242	NA	NA	NA	0.537308621743593	0.420367311279113	0.300298554680633	11	0.0349	-0.127056905148734	-0.165617094791805	-0.162084982330675	0.641075055888246	0.0697805391616041	0.0627551665392387	28.098783726779	22.8164934510084	18.491209331149	16
1788.mck687Post.8Osse.10	0	0	0	0	0	Osse	10	Post	Control	Osse_10	13	0	107	128.857142857143	3.91925856262144	17.081622899802	0.6093	0.475478094870059	0.265577854560713	0.59707165859719	0.402108577708034	0.284834861361803	8	0.1385	0.233120714229207	0.0303173345925403	-0.166671155318154	0.7019085044289	-0.353055685289984	0.265994250924993	28.098783726779	22.8164934510084	18.491209331149	15
1788.mck763Post.10Buma.1	0	0	0	0	0	Rhma	1	Post	Control	Rhma_1	16	0	129	144.4	5.06963257199686	18.59254060127	NA	NA	NA	0.549367247931655	0.269059470802779	0.209848736195546	14	0.4139	-0.0927885254739896	-0.186315634016251	-0.013084602410578	0.0069927452135424	-0.103511643222468	-0.00809633907931151	28.098783726779	22.8164934510084	18.491209331149	83
1788.mck252Pre.4Osse.7	0	0	0	0	0	Osse	7	Pre	Control	Osse_7	5	0	117	130.571428571429	4.55647559973995	15.86857441624	0.4731	0.573630613240956	0.17859393833427	0.496857312106554	0.440524828540265	0.167965799606027	15	0.5239	0.231172848435112	-0.041609718000619	-0.0276684357606351	0.353186289057261	0.206324590106024	0.15630589748836	28.098783726779	22.8164934510084	18.491209331149	12
1788.mck746Post.10Bubo.3	4.38817038726726	0.190326147693426	4.33333333333333	1.20185042515466	1	Anbo	3	Post	Bd-exposed	Anbo_3	15	0	101	118.5	4.29222149321503	17.16722400651	0.4718	0.397620742716183	0.242519834257427	0.488668236287412	0.407725940922058	0.21253577139956	10	0.1547	-0.153839764565815	0.0148397270001544	-0.104549051053482	0.229254382790748	-0.218975982100944	0.0275332534441118	28.098783726779	22.8164934510084	18.491209331149	NA
1788.mck660Post.8Rapi.4	0	0	0	0	0	Rapi	4	Post	Control	Rapi_4	13	0	52	54	3.33377876083868	9.66934892858	0.5441	0.498870490461409	0.359481419759721	0.438586496018511	0.444144395536578	0.186449511650901	8	0.261	-0.249098723943921	0.236403937940561	-0.0884957347624408	0.264625942153192	-0.282158416850201	0.0520187074909788	28.098783726779	22.8164934510084	18.491209331149	25
1788.mck220Pre.5Buma.8	0	0	0	0	0	Rhma	8	Pre	Bd-exposed	Rhma_8	5	0	158	173.789473684211	4.99178827179549	18.58100518651	0.524	0.416951398575766	0.245063166263977	0.443196162658299	0.356746113040272	0.182814973842738	14	0.1212	-0.543386714181131	-0.150567934013421	0.167451687927856	0.040841996575429	-0.126489270391618	-0.0571427449203232	28.098783726779	22.8164934510084	18.491209331149	110
1788.mck757Post.10Raca.5	0	0	0	0	0	Raca	5	Post	Bd-exposed	Raca_5	16	0	110	127.142857142857	4.13516597894132	15.90074012239	NA	NA	NA	0.36563214429023	0.397727875391177	0.209596078514874	12	0.2751	-0.18408588668457	-0.0546009803164113	-0.316519835765043	-0.582727892707352	-0.0512061176902475	-0.2968268318573	28.098783726779	22.8164934510084	18.491209331149	94
1788.mck111Pre.3Buma.5	0	0	0	0	0	Rhma	5	Pre	Control	Rhma_5	3	0	154	189	4.49806552338571	19.08019600682	0.3872	0.385828589732488	0.212484618614891	0.302236677002677	0.312807972742429	0.139473074899937	14	0.2481	-0.58910663866083	-0.172516037530688	0.245146577159848	-0.0947150670635508	-0.0801984588121802	-0.0334019590519588	28.098783726779	22.8164934510084	18.491209331149	102
1788.mck120Pre.3Rapi.3	0	0	0	0	0	Rapi	3	Pre	Bd-exposed	Rapi_3	3	0	98	124.25	4.39436276947113	13.38555477522	0.5198	0.5978014453371	0.241151576316807	0.330958895103204	0.423650174785335	0.145828780637434	14	0.3415	-0.120265955132356	0.234818317049452	-0.0400389180071564	-0.0341878999371715	0.0339045312987895	0.0419781346111852	28.098783726779	22.8164934510084	18.491209331149	25
1788.mck318Post.2Raca.10	0	0	0	0	0	Raca	10	Post	Control	Raca_10	7	0	122	142.3	4.00273942868675	18.92138083916	NA	NA	NA	0.406814694670682	0.40000177705247	0.297366511175199	11	0.1224	-0.0394890119706725	-0.164631630823493	-0.297279676556072	-0.596174515254908	0.0329990957423769	-0.518344602450796	28.098783726779	22.8164934510084	18.491209331149	94
