	chao1
1788.mck284Post.1Rapi.8	118.25
1788.mck378Post.3Buma.7	101.61538461538461
1788.mck319Post.2Buma.1	140.23076923076923
1788.mck565Post.6Bubo.9	52.5
1788.mck656Post.8Buma.11	186.2
1788.mck324Post.2Buma.6	95.33333333333333
1788.mck648Post.8Buma.3	167.0909090909091
1788.mck330Post.2Rapi.1	293.2857142857143
1788.mck415Post.3NA	317.77777777777777
1788.mck337Post.2Rapi.8	140.72413793103448
1788.mck250Pre.4Osse.5	107.0
1788.mck669Post.8Bubo.1	90.42857142857143
1788.mck285Post.1Rapi.9	168.0
1788.mck81Pre.2Bubo.5	117.625
1788.mck554Post.6Rapi.10	177.95454545454544
1788.mck645Post.8Raca.10	175.0
1788.mck701Post.9Buma.4	192.5
1788.mck564Post.6Bubo.8	100.375
1788.mck666Post.8Rapi.10	105.0
1788.mck3Pre.1Raca.3	130.83333333333334
1788.mck325Post.2Buma.7	120.5
1788.mck235Pre.5Rapi.12	95.0
1788.mck494Post.5Rapi.3	61.0
1788.mck16Pre.1Buma.6	146.0
1788.mck54Pre.2Buma.1	196.1
1788.mck388Post.3Rapi.6	89.375
1788.mck96Pre.1Osse.10	93.78947368421052
1788.mck317Post.2Raca.9	179.33333333333334
1788.mck613Post.7Bubo.1	70.0
1788.mck39Pre.1Bubo.6	85.2
1788.mck664Post.8Rapi.8	102.0
1788.mck274Post.1Buma.9	159.46153846153845
1788.mck328Post.2Buma.10	118.0
1788.mck332Post.2Rapi.3	91.0909090909091
1788.mck609Post.7Rapi.9	87.875
1788.mck59Pre.2Buma.6	150.0
1788.mck267Post.1Buma.2	114.57142857142857
1788.mck86Pre.2Bubo.10	81.0
1788.mck365Post.3Raca.4	135.14285714285714
1788.mck389Post.3Rapi.7	98.27272727272728
1788.mck703Post.9Buma.6	146.23529411764707
1788.mck57Pre.2Buma.4	198.23076923076923
1788.mck727Post.9Bubo.8	95.1
1788.mck127Pre.3Rapi.10	95.375
1788.mck782Post.10Rapi.9	113.46153846153847
1788.mck316Post.2Raca.8	61.25
1788.mck583Post.7Raca.4	210.15384615384616
1788.mck289Post.1Bubo.1	46.5
1788.mck37Pre.1Bubo.4	93.16666666666667
1788.mck608Post.7Rapi.8	133.6
1788.mck176Pre.4Rapi.6	134.5
1788.mck105Pre.3Raca.10	212.3448275862069
1788.mck676Post.8Bubo.9	62.0
1788.mck652Post.8Buma.7	136.5
1788.mck476Post.5Raca.6	63.0
1788.mck507Post.5Bubo.4	48.0
1788.mck384Post.3Rapi.2	103.0
1788.mck340Post.2Rapi.11	118.6
1788.mck672Post.8Bubo.4	56.0
1788.mck244Pre.5Bubo.9	99.5
1788.mck260Post.1Raca.5	248.93548387096774
1788.mck690Post.9Raca.3	227.21428571428572
1788.mck434Post.4Buma.7	89.1
1788.mck94Pre.1Osse.8	92.42857142857143
1788.mck531Post.6Raca.8	93.66666666666667
1788.mck477Post.5Raca.7	65.0
1788.mck588Post.7Raca.9	86.57142857142857
1788.mck385Post.3Rapi.3	59.857142857142854
1788.mck673Post.8Bubo.5	152.55
1788.mck597Post.7Buma.8	164.2
1788.mck162Pre.4Buma.3	160.6
1788.mck590Post.7Buma.1	166.66666666666666
1788.mck792Post.11Bubo.9	90.0
1788.mck374Post.3Buma.3	133.0
1788.mck687Post.8Osse.10	128.85714285714286
1788.mck149Pre.2Osse.10	71.0
1788.mck237Pre.5Bubo.2	62.25
1788.mck650Post.8Buma.5	180.83333333333334
1788.mck474Post.5Raca.4	168.8
1788.mck304Post.1Osse.6	142.5
1788.mck262Post.1Raca.7	179.55555555555554
1788.mck695Post.9Raca.8	106.0
1788.mck269Post.1Buma.4	120.54545454545455
1788.mck623Post.7Osse.1	178.11764705882354
1788.mck682Post.8Osse.5	118.375
1788.mck414Post.3Osse.10	93.0
1788.mck699Post.9Buma.2	134.4
1788.mck292Post.1Bubo.4	96.0
1788.mck114Pre.3Buma.8	243.4
1788.mck305Post.1Osse.7	99.0
1788.mck760Post.10Raca.8	183.25
1788.mck475Post.5Raca.5	121.25
1788.mck592Post.7Buma.3	167.9090909090909
1788.mck241Pre.5Bubo.6	81.75
1788.mck747Post.10Bubo.4	51.2
1788.mck498Post.5Rapi.7	136.75
1788.mck353Post.2Osse.2	106.5
1788.mck293Post.1Bubo.5	62.5
1788.mck276Post.1Buma.11	177.11111111111111
1788.mck33Pre.1Rapi.12	93.2
1788.mck98Pre.3Raca.2	123.0
1788.mck263Post.1Raca.8	117.0
1788.mck145Pre.2Osse.6	104.5
1788.mck743Post.9Control.Mold	114.77272727272727
1788.mck472Post.5Raca.2	58.0
1788.mck83Pre.2Bubo.7	62.25
1788.mck548Post.6Rapi.4	113.1
1788.mck761Post.10Raca.9	203.04347826086956
1788.mck446Post.4Rapi.8	106.5
1788.mck639Post.8Raca.4	194.92857142857144
1788.mck382Post.3Buma.11	131.66666666666666
1788.mck124Pre.3Rapi.7	76.0
1788.mck470Post.4Osse.10	114.125
1788.mck412Post.3Osse.8	210.8
1788.mck355Post.2Osse.4	84.14285714285714
1788.mck749Post.10Bubo.6	83.33333333333333
1788.mck252Pre.4Osse.7	130.57142857142858
1788.mck515Post.5Osse.2	135.0
1788.mck594Post.7Buma.5	200.07142857142856
1788.mck741Post.9Control.SterileWater	33.5
1788.mck499Post.5Rapi.8	89.33333333333333
1788.mck765Post.10Buma.3	159.25
1788.mck549Post.6Rapi.5	127.11111111111111
1788.mck318Post.2Raca.10	142.3
1788.mck473Post.5Raca.3	50.0
1788.mck413Post.3Osse.9	148.0
1788.mck447Post.4Rapi.9	208.24137931034483
1788.mck539Post.6Buma.6	147.0
1788.mck174Pre.4Rapi.4	95.25
1788.mck31Pre.1Rapi.10	113.0
1788.mck627Post.7Osse.5	137.27272727272728
1788.mck21Pre.1Buma.11	137.47619047619048
1788.mck512Post.5Bubo.9	102.05882352941177
1788.mck40Pre.1Bubo.7	116.6
1788.mck139Pre.3Bubo.10	90.0
1788.mck653Post.8Buma.8	147.4
1788.mck300Post.1Osse.2	101.0
1788.mck213Pre.5Buma.1	142.58823529411765
1788.mck596Post.7Buma.7	173.625
1788.mck20Pre.1Buma.10	148.6
1788.mck357Post.2Osse.6	68.5
1788.mck709Post.9Rapi.1	87.8
1788.mck36Pre.1Bubo.3	71.14285714285714
1788.mck626Post.7Osse.4	109.11111111111111
1788.mck66Pre.2Rapi.2	102.25
1788.mck9Pre.1Raca.9	137.1764705882353
1788.mck79Pre.2Bubo.3	49.875
